Symptoms,Medicines
"sore throat, acidity, allergy, body pain","cetirizine, azithromycin, diclofenac, aciloc"
"swelling, cough, sore throat, inflammation","azithromycin, diclofenac"
"acidity, swelling","diclofenac, aciloc"
"sneezing, stomach pain","cetirizine, aciloc"
"stomach pain, swelling, acidity, allergy","cetirizine, diclofenac, aciloc"
"fever, runny nose, cold","paracetamol, cetirizine"
"inflammation, headache",diclofenac
"headache, swelling, sore throat, inflammation","azithromycin, diclofenac"
bacterial infection,azithromycin
"allergy, fever, sneezing","paracetamol, cetirizine"
"body pain, headache, fever, cough","paracetamol, azithromycin"
"allergy, body pain","cetirizine, diclofenac"
"runny nose, inflammation, headache, sneezing","cetirizine, diclofenac"
"acidity, sneezing, cold","cetirizine, aciloc"
swelling,diclofenac
cold,cetirizine
"headache, cough, runny nose, sneezing, inflammation","cetirizine, azithromycin, diclofenac"
"cold, stomach pain, sore throat, bacterial infection, cough","cetirizine, azithromycin, aciloc"
"cough, fever, sore throat","paracetamol, azithromycin"
body pain,diclofenac
"fever, acidity, runny nose, bacterial infection, headache","paracetamol, cetirizine, azithromycin, aciloc"
"cold, acidity, stomach pain","cetirizine, aciloc"
"bacterial infection, sneezing, runny nose, sore throat, cold","cetirizine, azithromycin"
"body pain, acidity, headache, inflammation, allergy","cetirizine, diclofenac, aciloc"
"sneezing, acidity","cetirizine, aciloc"
"sore throat, cough",azithromycin
stomach pain,aciloc
"headache, cough","azithromycin, diclofenac"
"headache, body pain, stomach pain","diclofenac, aciloc"
"body pain, swelling, stomach pain","diclofenac, aciloc"
"headache, inflammation, fever, cold","paracetamol, cetirizine, diclofenac"
"sore throat, cough, body pain, inflammation","azithromycin, diclofenac"
"fever, body pain",paracetamol
inflammation,diclofenac
"cough, runny nose, stomach pain, headache, swelling","cetirizine, azithromycin, diclofenac, aciloc"
"bacterial infection, allergy","cetirizine, azithromycin"
"sneezing, runny nose, headache","cetirizine, diclofenac"
swelling,diclofenac
"cold, sneezing, allergy, acidity","cetirizine, aciloc"
"stomach pain, allergy, inflammation","cetirizine, diclofenac, aciloc"
"bacterial infection, headache","azithromycin, diclofenac"
"stomach pain, bacterial infection, sore throat, runny nose, body pain","cetirizine, azithromycin, diclofenac, aciloc"
"swelling, inflammation",diclofenac
"sore throat, inflammation","azithromycin, diclofenac"
headache,diclofenac
"runny nose, stomach pain","cetirizine, aciloc"
"sore throat, sneezing","cetirizine, azithromycin"
"bacterial infection, swelling, sore throat, inflammation, headache","azithromycin, diclofenac"
"runny nose, acidity","cetirizine, aciloc"
"bacterial infection, acidity, cough","azithromycin, aciloc"
"cold, headache, acidity, body pain, stomach pain","cetirizine, diclofenac, aciloc"
"sore throat, stomach pain, swelling, sneezing","cetirizine, azithromycin, diclofenac, aciloc"
headache,diclofenac
"swelling, headache",diclofenac
"acidity, cough, headache","azithromycin, diclofenac, aciloc"
"cough, acidity, sneezing","cetirizine, azithromycin, aciloc"
"body pain, swelling",diclofenac
"bacterial infection, inflammation, allergy","cetirizine, azithromycin, diclofenac"
"body pain, swelling, runny nose, sore throat, inflammation","cetirizine, azithromycin, diclofenac"
"runny nose, cough, acidity","cetirizine, azithromycin, aciloc"
"fever, sneezing, runny nose","paracetamol, cetirizine"
inflammation,diclofenac
"swelling, inflammation, body pain, allergy, runny nose","cetirizine, diclofenac"
"acidity, sore throat, swelling","azithromycin, diclofenac, aciloc"
"cough, acidity, sore throat, headache, fever","paracetamol, azithromycin, aciloc"
headache,diclofenac
sneezing,cetirizine
allergy,cetirizine
inflammation,diclofenac
"allergy, runny nose, sore throat, body pain","cetirizine, azithromycin, diclofenac"
"bacterial infection, swelling, body pain, sneezing","cetirizine, azithromycin, diclofenac"
"inflammation, allergy, runny nose","cetirizine, diclofenac"
"acidity, fever, inflammation","paracetamol, diclofenac, aciloc"
"acidity, cough, runny nose","cetirizine, azithromycin, aciloc"
"body pain, sneezing, runny nose, bacterial infection, cough","cetirizine, azithromycin, diclofenac"
swelling,diclofenac
"cough, runny nose, inflammation","cetirizine, azithromycin, diclofenac"
"acidity, inflammation","diclofenac, aciloc"
"swelling, inflammation, runny nose, fever","paracetamol, cetirizine, diclofenac"
"inflammation, sneezing, body pain","cetirizine, diclofenac"
"runny nose, allergy, sore throat, stomach pain, headache","cetirizine, azithromycin, diclofenac, aciloc"
"cold, cough, inflammation","cetirizine, azithromycin, diclofenac"
"cold, cough, fever, headache, inflammation","paracetamol, cetirizine, azithromycin, diclofenac"
"sore throat, cold, bacterial infection","cetirizine, azithromycin"
"inflammation, runny nose","cetirizine, diclofenac"
sneezing,cetirizine
"acidity, stomach pain, cough, body pain","azithromycin, diclofenac, aciloc"
"sore throat, headache, acidity, allergy, inflammation","cetirizine, azithromycin, diclofenac, aciloc"
headache,diclofenac
"bacterial infection, fever","paracetamol, azithromycin"
"sore throat, runny nose, stomach pain","cetirizine, azithromycin, aciloc"
"bacterial infection, allergy","cetirizine, azithromycin"
"headache, fever, acidity, cough","paracetamol, azithromycin, aciloc"
"allergy, bacterial infection, swelling, stomach pain, cough","cetirizine, azithromycin, diclofenac, aciloc"
runny nose,cetirizine
"acidity, cold, sore throat","cetirizine, azithromycin, aciloc"
"runny nose, cold, sore throat, cough, sneezing","cetirizine, azithromycin"
"inflammation, body pain, headache",diclofenac
"fever, runny nose, stomach pain","paracetamol, cetirizine, aciloc"
headache,diclofenac
"headache, stomach pain, fever, allergy","paracetamol, cetirizine, aciloc"
"stomach pain, sneezing, cold","cetirizine, aciloc"
"stomach pain, inflammation, swelling, body pain","diclofenac, aciloc"
"body pain, cold, allergy","cetirizine, diclofenac"
"inflammation, allergy","cetirizine, diclofenac"
"fever, inflammation, swelling","paracetamol, diclofenac"
"cold, sneezing, inflammation, acidity, stomach pain","cetirizine, diclofenac, aciloc"
"stomach pain, headache, cough, cold","cetirizine, azithromycin, diclofenac, aciloc"
"cough, sore throat, runny nose","cetirizine, azithromycin"
acidity,aciloc
fever,paracetamol
"body pain, sore throat, headache, cold, allergy","cetirizine, azithromycin, diclofenac"
allergy,cetirizine
"body pain, swelling, acidity, sneezing","cetirizine, diclofenac, aciloc"
fever,paracetamol
"cold, headache","cetirizine, diclofenac"
"headache, inflammation, bacterial infection, stomach pain, acidity","azithromycin, diclofenac, aciloc"
"bacterial infection, fever","paracetamol, azithromycin"
"sore throat, cold","cetirizine, azithromycin"
"allergy, inflammation, runny nose, sneezing","cetirizine, diclofenac"
stomach pain,aciloc
"stomach pain, inflammation","diclofenac, aciloc"
"body pain, runny nose, bacterial infection","cetirizine, azithromycin, diclofenac"
runny nose,cetirizine
"headache, inflammation, runny nose, sore throat, bacterial infection","cetirizine, azithromycin, diclofenac"
"inflammation, swelling, cold, allergy","cetirizine, diclofenac"
"sore throat, swelling, stomach pain","azithromycin, diclofenac, aciloc"
"bacterial infection, stomach pain, headache","azithromycin, diclofenac, aciloc"
"sore throat, cough, bacterial infection, cold, body pain","cetirizine, azithromycin, diclofenac"
inflammation,diclofenac
"runny nose, sneezing, body pain, acidity, stomach pain","cetirizine, diclofenac, aciloc"
"sneezing, body pain, acidity","cetirizine, diclofenac, aciloc"
"inflammation, body pain, cough","azithromycin, diclofenac"
acidity,aciloc
inflammation,diclofenac
"body pain, fever",paracetamol
"sore throat, allergy, inflammation, headache","cetirizine, azithromycin, diclofenac"
"cold, swelling, runny nose","cetirizine, diclofenac"
"runny nose, inflammation, fever, acidity","paracetamol, cetirizine, diclofenac, aciloc"
"body pain, headache",diclofenac
"swelling, allergy, inflammation, bacterial infection","cetirizine, azithromycin, diclofenac"
"sore throat, swelling, inflammation, allergy, headache","cetirizine, azithromycin, diclofenac"
cough,azithromycin
"headache, swelling",diclofenac
"runny nose, inflammation, stomach pain, headache, swelling","cetirizine, diclofenac, aciloc"
"body pain, bacterial infection, inflammation","azithromycin, diclofenac"
cough,azithromycin
"headache, cough","azithromycin, diclofenac"
"fever, body pain",paracetamol
"sneezing, inflammation, allergy","cetirizine, diclofenac"
"swelling, sneezing, cough","cetirizine, azithromycin, diclofenac"
"fever, sneezing, stomach pain, headache, swelling","paracetamol, cetirizine, diclofenac, aciloc"
"fever, swelling","paracetamol, diclofenac"
"bacterial infection, allergy","cetirizine, azithromycin"
"inflammation, runny nose","cetirizine, diclofenac"
"bacterial infection, acidity, sore throat, stomach pain, swelling","azithromycin, diclofenac, aciloc"
"inflammation, sore throat","azithromycin, diclofenac"
runny nose,cetirizine
"allergy, runny nose, swelling, inflammation, body pain","cetirizine, diclofenac"
"headache, stomach pain","diclofenac, aciloc"
"acidity, inflammation","diclofenac, aciloc"
"cold, fever, sore throat, inflammation","paracetamol, cetirizine, azithromycin, diclofenac"
"headache, fever",paracetamol
"acidity, sore throat","azithromycin, aciloc"
"fever, headache, cold","paracetamol, cetirizine"
"runny nose, stomach pain, headache, allergy, cough","cetirizine, azithromycin, diclofenac, aciloc"
acidity,aciloc
"sore throat, acidity, inflammation, runny nose","cetirizine, azithromycin, diclofenac, aciloc"
body pain,diclofenac
"allergy, body pain, sore throat, headache","cetirizine, azithromycin, diclofenac"
"cough, headache, allergy","cetirizine, azithromycin, diclofenac"
headache,diclofenac
"sneezing, cold",cetirizine
"sneezing, allergy",cetirizine
"cold, inflammation, body pain, headache, fever","paracetamol, cetirizine, diclofenac"
"fever, acidity, body pain","paracetamol, aciloc"
"body pain, sneezing, fever, inflammation, runny nose","paracetamol, cetirizine, diclofenac"
cough,azithromycin
"swelling, cough, acidity, bacterial infection, cold","cetirizine, azithromycin, diclofenac, aciloc"
"body pain, inflammation, sneezing, bacterial infection","cetirizine, azithromycin, diclofenac"
"fever, cold, sneezing","paracetamol, cetirizine"
"inflammation, stomach pain, sneezing, acidity","cetirizine, diclofenac, aciloc"
"cough, bacterial infection, body pain, headache, runny nose","cetirizine, azithromycin, diclofenac"
"headache, bacterial infection, cold, acidity, cough","cetirizine, azithromycin, diclofenac, aciloc"
"headache, cold, stomach pain, body pain","cetirizine, diclofenac, aciloc"
"inflammation, acidity, allergy","cetirizine, diclofenac, aciloc"
"allergy, cough, bacterial infection","cetirizine, azithromycin"
"sneezing, cough, body pain, swelling","cetirizine, azithromycin, diclofenac"
"fever, stomach pain, bacterial infection, headache, cold","paracetamol, cetirizine, azithromycin, aciloc"
"swelling, stomach pain, body pain, sneezing","cetirizine, diclofenac, aciloc"
"allergy, fever","paracetamol, cetirizine"
headache,diclofenac
"acidity, body pain, cold","cetirizine, diclofenac, aciloc"
"allergy, fever","paracetamol, cetirizine"
"headache, sneezing, bacterial infection, sore throat","cetirizine, azithromycin, diclofenac"
"fever, acidity, sneezing, allergy, inflammation","paracetamol, cetirizine, diclofenac, aciloc"
"body pain, sore throat, inflammation, acidity, sneezing","cetirizine, azithromycin, diclofenac, aciloc"
"swelling, sore throat, bacterial infection","azithromycin, diclofenac"
"swelling, allergy","cetirizine, diclofenac"
"cough, inflammation","azithromycin, diclofenac"
cold,cetirizine
"body pain, bacterial infection, stomach pain, cold","cetirizine, azithromycin, diclofenac, aciloc"
cold,cetirizine
"headache, inflammation",diclofenac
"runny nose, bacterial infection, fever","paracetamol, cetirizine, azithromycin"
fever,paracetamol
bacterial infection,azithromycin
"swelling, body pain, runny nose","cetirizine, diclofenac"
"fever, cold, sore throat, swelling","paracetamol, cetirizine, azithromycin, diclofenac"
acidity,aciloc
"runny nose, cough, swelling, headache","cetirizine, azithromycin, diclofenac"
fever,paracetamol
"bacterial infection, runny nose, body pain, cough","cetirizine, azithromycin, diclofenac"
"bacterial infection, cough",azithromycin
"stomach pain, headache","diclofenac, aciloc"
"sore throat, sneezing","cetirizine, azithromycin"
"cough, inflammation, stomach pain, headache, fever","paracetamol, azithromycin, diclofenac, aciloc"
"fever, acidity, bacterial infection","paracetamol, azithromycin, aciloc"
"inflammation, cold, cough, sneezing, sore throat","cetirizine, azithromycin, diclofenac"
"swelling, stomach pain, cough, runny nose","cetirizine, azithromycin, diclofenac, aciloc"
"fever, allergy, runny nose","paracetamol, cetirizine"
"swelling, sneezing","cetirizine, diclofenac"
"sneezing, sore throat, body pain","cetirizine, azithromycin, diclofenac"
headache,diclofenac
"fever, allergy, body pain","paracetamol, cetirizine"
"bacterial infection, inflammation, sneezing, acidity, cough","cetirizine, azithromycin, diclofenac, aciloc"
"bacterial infection, headache, sneezing","cetirizine, azithromycin, diclofenac"
"bacterial infection, acidity, body pain, sore throat","azithromycin, diclofenac, aciloc"
"cough, acidity, allergy, swelling, fever","azithromycin, aciloc, paracetamol, cetirizine, diclofenac"
"headache, acidity, sneezing","cetirizine, diclofenac, aciloc"
inflammation,diclofenac
cough,azithromycin
"acidity, sore throat","azithromycin, aciloc"
allergy,cetirizine
"cough, inflammation, bacterial infection, cold, runny nose","cetirizine, azithromycin, diclofenac"
"cough, cold, stomach pain, fever, headache","paracetamol, cetirizine, azithromycin, aciloc"
cough,azithromycin
cold,cetirizine
"acidity, cough, runny nose, swelling, allergy","cetirizine, azithromycin, diclofenac, aciloc"
"inflammation, runny nose, body pain, bacterial infection","cetirizine, azithromycin, diclofenac"
"inflammation, swelling",diclofenac
swelling,diclofenac
"body pain, cold, sneezing, bacterial infection","cetirizine, azithromycin, diclofenac"
